lane,carrier,speed_kmh,dwell_time_hours,transit_days,distance_km,on_time_rate,stops_count,weather_severity,port_congestion,hours_stationary,speed_variance,label
Mumbai-Rotterdam,CMA-CGM,31.78435347480292,18.30643428949528,14.420093008866063,11000.0,0.7853869205089522,1,4.1874943165353375,4.386703998189556,6.427400090704998,0.7137397526625416,0
Mumbai-Rotterdam,Maersk,27.094430861084447,16.46739152707036,16.916145450083416,11000.0,0.9044753014750309,3,2.769005381400375,4.3257867794961555,3.248134207680137,2.189568924897499,0
Singapore-Sydney,COSCO,31.905081636350914,13.5090698183548,8.22752948862296,6300.0,0.789537776722973,1,0.6095255169349908,2.049536219793329,0.23447899030831082,1.0275638004398244,0
Singapore-Sydney,CMA-CGM,36.839729505188956,12.477458645126061,7.12545948425127,6300.0,0.7969427617785586,3,3.431292252990633,3.388136437669791,1.4030048851171937,2.475749547380545,0
Dubai-New-York,Evergreen,32.3467080923824,13.89385337720234,16.35921235494392,12700.0,0.748113891309162,4,1.6911945768048906,2.681458480041882,0.7525633057960325,0.6152754941752798,0
Singapore-Sydney,COSCO,30.538237525647453,13.00070719055328,8.595780937899251,6300.0,0.7689918688017963,0,5.9583427275538545,2.818852286617793,2.503746832832081,5.922310426167581,0
Singapore-Sydney,COSCO,34.49446920313647,11.573255209115663,7.609915620215769,6300.0,0.7901416331471078,3,3.149564585990186,3.6944919136403436,6.052827232098604,2.03917122083779,0
Shanghai-Los-Angeles,Evergreen,26.013029485997823,22.164702181334487,16.337966334477386,10200.0,0.7302231360392601,3,1.7089188771817512,1.3672477398450813,2.120728196136905,1.9889117637640208,0
Singapore-Sydney,Maersk,36.693475953138865,6.587065588448538,7.1538602757405165,6300.0,0.942988557126323,2,2.808489952523208,5.620572758245657,3.711191683602706,4.5073781652571405,0
Shanghai-Los-Angeles,Evergreen,35.07686785328727,31.234926066767294,12.116247145486527,10200.0,0.8018012741503361,1,4.463501895458706,5.289467350374548,0.9954577659568122,5.680377323953575,0
Mumbai-Rotterdam,COSCO,24.17800757310459,20.412919215261212,18.95662129923309,11000.0,0.7554768811557611,4,0.7840661814482981,5.871036798226107,2.1528969574807215,1.5822757180116125,0
Shanghai-Los-Angeles,MSC,31.920772051587754,19.686568519190605,13.314214308887943,10200.0,0.8574505724045426,1,1.4358184045054687,4.829345626756341,0.7761918163027961,1.172428562924269,0
Singapore-Sydney,Maersk,43.17229396721616,14.924246670149213,6.080288441455884,6300.0,0.8736980848812484,2,2.743313646403476,6.6373674296947485,1.5690771185451078,1.5718805339310327,0
Shenzhen-Hamburg,Maersk,28.831828972717556,20.610310395567115,29.33679074378919,20300.0,0.9902073382229094,3,3.681378079586255,4.0522540509928175,1.7885114550410446,0.49678550654442055,0
Singapore-Sydney,MSC,41.34093579361021,16.748755264312283,6.349638559477719,6300.0,0.8477606912533276,6,0.6536581244443956,2.8550368240820805,0.7458930300040726,0.25882052230597613,0
Dubai-New-York,Maersk,28.46950871839219,13.967100540354599,18.58713727380931,12700.0,0.8708305668924118,0,3.8575673937212125,6.723320751822891,1.8411524991064045,3.035298575634725,0
Shanghai-Los-Angeles,MSC,29.820187608537065,22.034450306040277,14.252090080021127,10200.0,0.8494899884557097,3,2.2491121999605905,5.227007365318784,1.022581736766554,4.678964563656827,0
Singapore-Sydney,COSCO,34.66605669243096,12.9344524568166,7.572248621439386,6300.0,0.7705426002757443,4,1.877827501110684,0.6865932825681399,3.0434139533234332,1.1332573249662863,0
Shenzhen-Hamburg,CMA-CGM,31.684632778656198,18.024022229388734,26.6953806674103,20300.0,0.8377472745823068,4,0.9616680961366418,5.832419953238295,2.5646955861619674,1.37670117274359,0
Mumbai-Rotterdam,COSCO,30.934810909042547,75.66837176014955,14.816102632111388,11000.0,0.7993571675022061,6,2.2261398372449017,1.92932491587559,1.9379720733587673,2.1673932144964203,1
Shanghai-Los-Angeles,CMA-CGM,38.192660021470964,16.250617903013037,11.12779261148806,10200.0,0.8816384317462104,1,0.8478674034449327,3.244070470156638,3.6202214639436336,4.953606791371297,0
Shenzhen-Hamburg,Maersk,29.755595216665995,24.83412990571611,28.426026338051045,20300.0,0.9422241047533826,3,3.3806496152522643,5.771640135655018,0.3505007971720934,1.9135271495692445,0
Singapore-Sydney,COSCO,31.981816843666312,12.910699550345488,8.207788859624639,6300.0,0.8548307315703257,4,4.6255348603221,2.7974844347337733,7.980829898595261,0.6149290274058826,0
